,original,google_translate,,
0,"





Kubeflow for Machine Learning


Kubeflow for Machine Learning
by Trevor  Grant, Holden  Karau, Boris  Lublinsky, Richard  Liu, and Ilan  Filonenko
Copyright © 2021 Trevor Grant, Holden Karau, Boris Lublinsky, Richard Liu, and Ilan Filonenko.","기계 학습용 Kubeflow


기계 학습용 Kubeflow
작성자 : Trevor Grant, Holden Karau, Boris Lublinsky, Richard Liu, Ilan Filonenko
Copyright © 2021 Trevor Grant, Holden Karau, Boris Lublinsky, Richard Liu 및 Ilan Filonenko.",,
1,All rights reserved.,판권 소유.,,
2,Printed in the United States of America.,미국에서 인쇄 됨.,,
3,"Published by O’Reilly Media, Inc., 1005 Gravenstein Highway North, Sebastopol, CA 95472.","O’Reilly Media, Inc., 1005 Gravenstein Highway North, Sebastopol, CA 95472에서 발행했습니다.",,
4,"O’Reilly books may be purchased for educational, business, or sales promotional use.","O’Reilly 도서는 교육, 비즈니스 또는 판촉 용으로 구매할 수 있습니다.",,
5,Online editions are also available for most titles (http://oreilly.com).,대부분의 타이틀 (http://oreilly.com)에 대한 온라인 버전도 제공됩니다.,,
6,"For more information, contact our corporate/institutional sales department: 800-998-9938 or corporate@oreilly.com.",자세한 내용은 회사 / 기관 영업 부서 (800-998-9938 또는 corporate@oreilly.com)에 문의하십시오.,,
7,"Acquisitions Editor: Jonathan Hassell
Development Editor: Amelia Blevins
Production Editor: Deborah Baker
Copyeditor: JM Olejarz
Proofreader: Justin Billing
Indexer: Sue Klefstad
Interior Designer: David Futato
Cover Designer: Karen Montgomery
Illustrator: Kate Dullea


November 2020: First Edition



Revision History for the First Edition

2020-10-12: First Release


See http://oreilly.com/catalog/errata.csp?isbn=9781492050124 for release details.","인수 편집자 : Jonathan Hassell
개발 편집자 : Amelia Blevins
프로덕션 편집자 : Deborah Baker
카피 에디터 : JM Olejarz
교정자 : Justin Billing
인덱서 : Sue Klefstad
인테리어 디자이너 : David Futato
표지 디자이너 : Karen Montgomery
일러스트 레이터 : Kate Dullea


2020 년 11 월 : 초판



초판의 개정 내역

2020-10-12 : 첫 번째 릴리스


릴리스에 대한 자세한 내용은 http://oreilly.com/catalog/errata.csp?isbn=9781492050124를 참조하십시오.",,
8,"The O’Reilly logo is a registered trademark of O’Reilly Media, Inc. Kubeflow for Machine Learning, the cover image, and related trade dress are trademarks of O’Reilly Media, Inc.","O’Reilly 로고는 O’Reilly Media, Inc.의 등록 상표입니다. 기계 학습용 Kubeflow, 표지 이미지 및 관련 트레이드 드레스는 O’Reilly Media, Inc.의 상표입니다.",,
9,"The views expressed in this work are those of the authors, and do not represent the publisher’s views.",이 작품에 표현 된 견해는 저자의 견해이며 출판사의 견해를 나타내지 않습니다.,,
